|date      |depot_code|depot_location      |transporter               |total_distance|percentage_empty|emptiness_var_cost|total_amount_wasted_per_transporter|transporter_type|contract_ref    |monthly_transporter_cost|
|2024-10-03|EB06      |Island View Terminal|Tanker Services Fuel      |1,301         |14.93           |19.977056         |3,497.92                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-13|EB06      |Island View Terminal|Tanker Services Fuel      |620           |10.99           |7.351784          |1,290.73                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-17|EA35      |Bethlehem           |Unitrans Supply Chain Sols|1,003         |26.97           |23.308992         |6,042.25                           |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-29|EA33      |Alrode              |Unitrans Supply Chain Sols|2,703         |11.13           |30.786048         |5,517.88                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-25|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|260           |3.56            |1.230336          |174.81                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-09|EA33      |Alrode              |Unitrans Supply Chain Sols|4,461         |9.38            |42.182208         |10,509.19                          |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-11|EB08      |Ladysmith           |Tanker Services Fuel      |838           |25.85           |12.968032         |1,781.78                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-10-16|EB43      |Port Elizabeth      |Tanker Services Fuel      |692           |43.33           |14.489552         |5,013.38                           |Secondary       |TNK-PE-DIR-2022 |474,936                 |
|2024-08-03|EA33      |Alrode              |Unitrans Supply Chain Sols|3,325         |8.68            |42.040512         |4,863.86                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-05|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|211           |3.89            |1.344384          |136.4                              |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-24|EB21      |Waltloo             |Makwande                  |2,855         |13.38           |34.518104         |5,129.54                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-18|EB06      |Island View Terminal|Tanker Services Fuel      |1,328         |22.66           |15.155008         |4,053.85                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-14|EB21      |Waltloo             |Makwande                  |622           |9.72            |6.970112          |545.58                             |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-29|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|253           |10.43           |3.606336          |454.87                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
